id,en_name,zh_name,summary,related
41,Carto,无尽旅图,,https://www.douban.com/group/topic/327939728/?_spm_id=MTk2NzU1Njg4&_i=16227852WOdhIi
42,Buy a Croquette!,买个可乐饼吧！,,https://www.douban.com/group/topic/326748241/?_spm_id=MTkxMjU2MjMz&_i=16175412WOdhIi
43,Staffer Case,异能缉凶,,https://www.douban.com/group/topic/326490776/?_spm_id=MTkxMjU2MjMz&_i=16184972WOdhIi
44,The Excavation of Hob's Barrow,霍布古墓发掘记,,https://www.douban.com/group/topic/326327525/?_spm_id=MjgzMzYyMzIy&_i=16185832WOdhIi
45,Spiritfarer,灵魂摆渡人,,https://www.douban.com/group/topic/330327063/?_spm_id=MTY1ODM4NTYz&_i=17271192WOdhIi
46,Cyberpunk 2077,赛博朋克 2077,,https://www.douban.com/group/topic/330362810/?_spm_id=MjI2OTU0MDk4&_i=17770222WOdhIi
47,Love You to Bits,,,https://www.douban.com/group/topic/330464658/?_spm_id=NDYzNDI1Njg&_i=18919942WOdhIi
48,Emily is Away <3,,,https://www.douban.com/group/topic/326822133/?_spm_id=MjQ1MTkzNTM0&_i=16187342WOdhIi
49,Open Roads,,,https://www.douban.com/group/topic/326843316/?_spm_id=MjQ5NTM2Mjgz&_i=16187942WOdhIi
50,Alchemy and Weldcraft,炼丹与电焊,,https://www.douban.com/group/topic/326945593/?_spm_id=MTIyNTk3MDg5&_i=16191852WOdhIi
51,Asterigos: Curse of the Stars,失落迷城群星的诅咒,,https://www.douban.com/group/topic/326317160/?_spm_id=MjgzMzYyMzIy&_i=16193832WOdhIi
52,Let's School,学院构想家,,https://www.douban.com/group/topic/326275418/?_spm_id=MTU4NzQxNzEz&_i=16194312WOdhIi
53,Yolk Heroes: A Long Tamago,勇者蛋生,,https://www.douban.com/group/topic/326695150/?_spm_id=Mjg4NzkzMDIz&_i=16197762WOdhIi
54,文字遊戲,文字游戏,,https://www.douban.com/group/topic/326604649/?_spm_id=Mjg4NzkzMDIz&_i=16198332WOdhIi
55,Phoenotopia Awakening,不死鸟传说：觉醒,,https://www.douban.com/group/topic/327654768/?_spm_id=MTc2Njc5Njc0&_i=16201262WOdhIi
56,The Oregon Trail,俄勒冈之旅,,https://www.douban.com/group/topic/326178782/?_spm_id=NDYzNDI1Njg&_i=16202592WOdhIi
57,Sin and Love,长安：石之舞,,https://www.douban.com/group/topic/326949744/?_spm_id=MTcyMjQ5Nzkx&_i=16203132WOdhIi
58,Insects Awaken,谍：惊蛰,,https://www.douban.com/group/topic/327721616/?_spm_id=MjU5OTY4NDk3&_i=16203532WOdhIi
59,Hauma,豪麻,,https://www.douban.com/group/topic/314173092/?_spm_id=MjgzMzYyMzIy
60,GreedFall,贪婪之秋,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi"
61,Tales of Berseria,狂战传说,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi"
62,Ashwood Valley,,,https://www.douban.com/group/topic/327980976/?_spm_id=MTI3MjMxNDk0&_i=16204772WOdhIi
63,Röki,洛基：北欧怪奇之旅,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi"
64,beat slayer,节奏战士,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi"
65,SCARLET NEXUS,绯色结系,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi"
